VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
FONTAINE-CHALENDRAY;0;63;Fontaine-Chalendray;fontaine chalendray;[-0.17643979572725002, 45.94722533669698];-0.176439796;45.94722534;17510;17162
FONTAINE-DENIS-NUISY;0;45;Fontaine-Denis-Nuisy;fontaine denis nuisy;[3.676794395606422, 48.63165908061722];3.676794396;48.63165908;51120;51254
FONTAINE-EN-BRAY;0;1;Fontaine-en-Bray;fontaine enbray;[1.422088489273012, 49.67812437334332];1.422088489;49.67812437;76440;76269
FONTAINE-ETOUPEFOUR;1;8;Fontaine-Étoupefour;fontaine etouperfour;[-0.454203302795246, 49.13799939916804];-0.454203303;49.1379994;14790;14274
FONTAINE-FOURCHES;0;1;Fontaine-Fourches;fontaine fourches;[3.394312584421551, 48.412030445461426];3.394312584;48.41203045;77480;77187
FONTAINE-FRANCAISE;77;168;Fontaine-Française;fontaine francaise;[5.364071351717976, 47.533020011310846];5.364071352;47.53302001;21610;21277
FONTAINE-HENRY;1;1;Fontaine-Henry;fontaine henry;[-0.465842356858211, 49.27778465349449];-0.465842357;49.27778465;14610;14275
FONTAINE-HEUDEBOURG;15;8;; fontaine heudebourg;[1.222092613659808, 49.134175924663055];1.222092614;49.13417592;27490;27250
FONTAINE-L'ABBE;0;187;Fontaine-l'Abbé;fontaine l abbe;[0.6879662264424841, 49.08832917849082];0.687966226;49.08832918;27470;27251
FONTAINE-L'ETALON;1;0;Fontaine-l'Étalon;fontaine l'étalon;[2.066873027657334, 50.30219640613845];2.066873028;50.30219641;62390;62345
FONTAINE-LA-GAILLARDE;1;73;Fontaine-la-Gaillarde;fontaine la gaillartd;[3.400849053501623, 48.2246784202731];3.400849054;48.22467842;89100;89172
FONTAINE-LA-GUYON;2;1;Fontaine-la-Guyon;fontaine la guyon;[1.297504509101471, 48.47547517516053];1.297504509;48.47547518;28190;28154
FONTAINE-LA-MALLET;1;1;Fontaine-la-Mallet;fontaine la mallet;[0.140568101619891, 49.538536074329144];0.140568102;49.53853607;76290;76270
FONTAINE-LA-SORET;28;0;;fontaine la soret;[0.708491311970006, 49.14537943476821];0.708491312;49.14537943;27550;27253
FONTAINE-LAVAGANNE;0;126;Fontaine-Lavaganne;fontaine lavaganne;[1.954331991597575, 49.598621969853255];1.954331992;49.59862197;60690;60242
FONTAINE-LE-BOURG;0;243;Fontaine-le-Bourg;fontaine le bourg;[1.1572286254258999, 49.570793437605936];1.157228625;49.57079344;76690;76271
FONTAINE-LE-COMTE;429;1;Fontaine-le-Comte;fontaine le comte;[0.246086949225219, 46.531243661536934];0.246086949;46.53124366;86240;86100
FONTAINE-LE-DUN;0;1;Fontaine-le-Dun;fontaine le dune;[0.8456735325958311, 49.814172745451536];0.845673533;49.81417275;76740;76272
FONTAINE-LE-PIN;3;0;Fontaine-le-Pin;fontaine le pin;[-0.2913720105082, 48.97514802295275];-0.291372011;48.97514802;14190;14276
FONTAINE-LE-PORT;0;1;Fontaine-le-Port;fontaine le port;[2.767063542110035, 48.484244898786216];2.767063542;48.4842449;77590;77188
FONTAINE-LES-BOULANS;2;28;Fontaine-lès-Boulans;fontaine les boulans;[2.283984632586254, 50.49865730152334];2.283984633;50.4986573;62134;62342
FONTAINE-LES-CAPPY;17;0;Fontaine-lès-Cappy;fontaine les cappy;[2.776590710254018, 49.899200206835474];2.77659071;49.89920021;80340;80325
FONTAINE-LES-CLERCS;0;1;Fontaine-lès-Clercs;fontaines les clercs;[3.212534129053727, 49.80784392743914];3.212534129;49.80784393;2680;2320
FONTAINE-LES-CLERVAL;1;0;Fontaine-lès-Clerval;fontaines les clerval;[6.469116682748337, 47.42143068377745];6.469116683;47.42143068;25340;25246
FONTAINE-LES-COTEAUX;0;1;Fontaine-les-Coteaux;fontaine les coteaux;[0.8356894484467531, 47.79887269496191];0.835689448;47.79887269;41800;41087
FONTAINE-LES-DIJON;14;0;Fontaine-lès-Dijon;fonatine les dijon;[5.024708794704008, 47.34759017604766];5.024708795;47.34759018;21121;21278
FONTAINE-LES-GRES;1;1;Fontaine-les-Grès;fontaine les grès;[3.8891051440848523, 48.41283519619373];3.889105144;48.4128352;10280;10151
FONTAINE-LES-LUXEUIL;0;2;Fontaine-lès-Luxeuil;fontaines les luxeuills;[6.334681183550938, 47.860101054786824];6.334681184;47.86010105;70800;70240
FONTAINE-LES-VERVINS;0;1;Fontaine-lès-Vervins;fontaine vervins;[3.905430253671737, 49.85373906026579];3.905430254;49.85373906;2140;2321
FONTAINE-MACON;1;0;Fontaine-Mâcon;fontaine macon;[3.507036126197697, 48.45756039340945];3.507036126;48.45756039;10400;10153
FONTAINE-MILON;0;1;;fontaine  milon;[-0.25364181576863803, 47.50510253155987];-0.253641816;47.50510253;49140;49139
FONTAINE-NOTRE-DAME;2;322;Fontaine-Notre-Dame;fontaine notre dame;[3.423805967517759, 49.878572471347994];3.423805968;49.87857247;2110;2322
FONTAINE-RAOUL;31;0;Fontaine-Raoul;fontaine raoul;[1.134938729340694, 47.974472315389896];1.134938729;47.97447232;41270;41088
FONTAINE-SIMON;77;3;Fontaine-Simon;fontaine simon;[0.9925295247142021, 48.508873373235];0.992529525;48.50887337;28240;28156
FONTAINE-SOUS-JOUY;0;3;Fontaine-sous-Jouy;fontaine  sous  jouy;[1.2805621016051991, 49.06440827354009];1.280562102;49.06440827;27120;27254
FONTAINE-SOUS-MONTDIDIER;15;0;Fontaine-sous-Montdidier;fontaine sous montdidier;[2.5053959935534262, 49.65507244433734];2.505395994;49.65507244;80500;80326
FONTAINE-SOUS-PREAUX;0;1;Fontaine-sous-Préaux;fontaine sous preaux;[1.168587814680769, 49.48554910704145];1.168587815;49.48554911;76160;76273
FONTAINE-SUR-AY;47;1;Fontaine-sur-Ay;fontaine sur ay;[4.066609705808442, 49.091995702729676];4.066609706;49.0919957;51160;51256
FONTAINE-SUR-SOMME;0;147;Fontaine-sur-Somme;fontaine sur somme;[1.940619317521101, 50.024661654660704];1.940619318;50.02466165;80510;80328
FONTAINE-UTERTE;0;30;Fontaine-Uterte;fontaine uterte;[3.367962342144928, 49.925284167153];3.367962342;49.92528417;2110;2323
FONTAINEBLEAU;1659;5;Fontainebleau;fontainebleau;[2.680313963886552, 48.40668565082405];2.680313964;48.40668565;77300;77186
FONTAINES;119;5;Fontaines;fontaines;[4.780770930316335, 46.85162199744159];4.78077093;46.851622;71150;71202
FONTAINES-EN-DUESMOIS;0;46;Fontaines-en-Duesmois;fontaines en duesmois;[4.535110470650809, 47.64933838028115];4.535110471;47.64933838;21450;21276
FONTAINES-EN-SOLOGNE;0;37;Fontaines-en-Sologne;fontaine en sologne;[1.549709740246196, 47.48776267499788];1.54970974;47.48776267;41250;41086
FONTAINES-LES-SECHES;1;31;Fontaines-les-Sèches;fontaines les seiches;[4.358965301806759, 47.784443009828685];4.358965302;47.78444301;21330;21279
FONTAINES-SUR-MARNE;2;8;Fontaines-sur-Marne;fontaine sur marne;[5.115652564650145, 48.558532290858906];5.115652565;48.55853229;52170;52203
FONTAN;0;66;Fontan;fontan;[7.54428215207358, 44.021905257699444];7.544282152;44.02190526;6540;6062
FONTANES;2;152;Fontanes;fontanes;[3.7800784566371943, 44.78068313907304];3.780078457;44.78068314;48300;48062
FONTANGY;0;3;Fontangy;fontangy;[4.371976738103804, 47.34579618060454];4.371976738;47.34579618;21390;21280
FONTANIERES;5;1;Fontanières;fontanieres;[2.519265778879028, 46.107140546629005];2.519265779;46.10714055;23110;23083
FONTANIL-CORNILLON;0;12;Fontanil-Cornillon;fontanil cornillon;[5.664233637391407, 45.25407184616117];5.664233637;45.25407185;38120;38170
FONTANNES;0;2;Fontannes;fontannes;[3.430147298370684, 45.288892884884255];3.430147298;45.28889288;43100;43096
FONTANS;0;63;Fontans;fontans;[3.376362585271847, 44.744732231160135];3.376362585;44.74473223;48700;48063
FONTARECHES;28;0;Fontarèches;fontareches;[4.431222119158062, 44.116325074402866];4.431222119;44.11632507;30580;30115
FONTCOUVERTE;0;4;;foncouverte;[2.686094037461552, 43.16797030264434];2.686094037;43.1679703;11700;11148
FONTCOUVERTE-LA-TOUSSUIRE;1;1;Fontcouverte-la-Toussuire;fontcouverte   la toussuire;[6.282499038459658, 45.24604846348269];6.282499038;45.24604846;73300;73116
FONTENAI-SUR-ORNE;10;1;;fontenai sur orne;[-0.073948266122264, 48.716940691886];-0.073948266;48.71694069;61200;61173
FONTENAILLES;0;3;Fontenailles;fontenailles;[3.471973576884145, 47.63092929039021];3.471973577;47.63092929;89560;89174
FONTENAY;0;4;Fontenay;le fontenay;[4.2995669312774485, 46.476608402818975];4.299566931;46.4766084;71120;71203
FONTENAY-AUX-ROSES;2;8;Fontenay-aux-Roses;fonteany aux roses;[2.2872349355653823, 48.789730131219166];2.287234936;48.78973013;92260;92032
